Entry	Entry name	Protein names	Length	Organism	Proteomes	Protein families	DNA binding	Metal binding	Pathway	pH dependence	Temperature dependence	Features	Subcellular location [CC]	Intramembrane	Topological domain	Transmembrane
P41810	COPB_YEAST	Coatomer subunit beta (Beta-coat protein) (Beta-COP)	973	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV							Chain (1); Modified residue (2); Mutagenesis (1); Repeat (4); Sequence conflict (1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Golgi apparatus membrane {ECO:0000269|PubMed:14562095}; Peripheral membrane protein {ECO:0000269|PubMed:14562095}; Cytoplasmic side {ECO:0000269|PubMed:14562095}. Cytoplasmic vesicle, COPI-coated vesicle membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Note=The coatomer is cytoplasmic or polymerized on the cytoplasmic side of the Golgi, as well as on the vesicles/buds originating from it. {ECO:0000250}.			
Q06440	CORO_YEAST	Coronin-like protein	651	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XII	WD repeat coronin family						Chain (1); Coiled coil (1); Modified residue (7); Repeat (4)				
Q06469	CUR1_YEAST	Curing of [URE3] protein 1	252	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XVI							Chain (1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18833194}.			
Q12389	DBP10_YEAST	ATP-dependent RNA helicase DBP10 (EC 3.6.4.13) (DEAD box protein 10)	995	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV	DEAD box helicase family, DDX54/DBP10 subfamily						Chain (1); Domain (2); Modified residue (3); Motif (2); Nucleotide binding (1); Sequence conflict (6)	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:10871363}.			
P41819	DIM1_YEAST	Dimethyladenosine transferase (EC 2.1.1.183) (18S rRNA (adenine(1779)-N(6)/adenine(1780)-N(6))-dimethyltransferase) (18S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)	318	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XVI	Class I-like SAM-binding methyltransferase superfamily, rRNA adenine N(6)-methyltransferase family						Beta strand (7); Binding site (6); Chain (1); Compositional bias (1); Helix (7); Turn (4)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12628929}. Nucleus, nucleolus {ECO:0000269|PubMed:12628929}.			
P36037	DOA1_YEAST	Protein DOA1 (Degradation of alpha protein 1) (Ubiquitin fusion degradation protein 3)	715	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XI	WD repeat PLAP family						Beta strand (31); Chain (1); Domain (2); Helix (22); Modified residue (1); Mutagenesis (22); Region (1); Repeat (13); Sequence conflict (1); Turn (7)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:18508771, ECO:0000269|PubMed:27044889}. Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:18508771, ECO:0000269|PubMed:27044889}. Mitochondrion outer membrane {ECO:0000269|PubMed:27044889}; Peripheral membrane protein {ECO:0000269|PubMed:27044889}; Cytoplasmic side {ECO:0000269|PubMed:27044889}. Endosome membrane {ECO:0000269|PubMed:18508771}; Peripheral membrane protein {ECO:0000269|PubMed:18508771}; Cytoplasmic side {ECO:0000269|PubMed:18508771}. Note=Predominantly localizes to the cytoplasm. Probably localizes to endosomes and mitochondria in a transient manner. {ECO:0000269|PubMed:18508771, ECO:0000269|PubMed:27044889}.			
Q99234	DFG16_YEAST	Protein DFG16 (Extracellular mutant protein 41) (Zinc-regulated gene 11 protein)	619	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XV							Chain (1); Compositional bias (1); Topological domain (8); Transmembrane (7)	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.		TOPO_DOM 1;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 23..167;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 189..203;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 225..291;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 313..321;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 343..378;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 400..410;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 432..619;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 2..22;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 168..188;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 204..224;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 292..312;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 322..342;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 379..399;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 411..431;  /note="Helical";  /evidence="ECO:0000255"
P38773	DOG2_YEAST	2-deoxyglucose-6-phosphate phosphatase 2 (2-DOG-6-P 2) (2-deoxyglucose-6-phosphatase 2) (EC 3.1.3.68)	246	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VIII	HAD-like hydrolase superfamily, DOG/GPP family		METAL 12;  /note="Magnesium";  /evidence="ECO:0000250"; METAL 14;  /note="Magnesium";  /evidence="ECO:0000250"; METAL 183;  /note="Magnesium";  /evidence="ECO:0000250"		BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 6.;	BIOPHYSICOCHEMICAL PROPERTIES:  Temperature dependence: Optimum temperature is 40 degrees Celsius.;	Active site (2); Chain (1); Metal binding (3)				
P35497	DHSO1_YEAST	Sorbitol dehydrogenase 1 (SDH 1) (EC 1.1.1.-) (Polyol dehydrogenase) (Xylitol dehydrogenase) (EC 1.1.1.9)	357	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome X	Zinc-containing alcohol dehydrogenase family		METAL 43;  /note="Zinc; catalytic";  /evidence="ECO:0000250|UniProtKB:Q00796"; METAL 68;  /note="Zinc; catalytic";  /evidence="ECO:0000250|UniProtKB:Q00796"; METAL 69;  /note="Zinc; catalytic";  /evidence="ECO:0000250|UniProtKB:Q00796"				Binding site (6); Chain (1); Metal binding (3); Nucleotide binding (2)				
Q05610	DON1_YEAST	Donuts protein 1	365	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV							Chain (1); Compositional bias (1); Domain (1); Sequence conflict (1)	SUBCELLULAR LOCATION: Prospore membrane {ECO:0000269|PubMed:10899120}. Note=Towards the end of meiosis I, or early stages of meiosis II, it forms circular structures above the meiotic plaque. As soon as an assembled prospore membrane is visible during meiosis II, it is detected at the leading edge, which cover the ring-shape opening of the PSMs. Probably recruited to the leading edges by ADY3.			
P32461	DPH2_YEAST	2-(3-amino-3-carboxypropyl)histidine synthase subunit 2 (EC 2.5.1.108) (Diphthamide biosynthesis protein 2) (Diphtheria toxin resistance protein 2) (S-adenosyl-L-methionine:L-histidine 3-amino-3-carboxypropyltransferase 2)	534	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XI	DPH1/DPH2 family, DPH2 subfamily			PATHWAY: Protein modification; peptidyl-diphthamide biosynthesis.			Chain (1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}.			
P09624	DLDH_YEAST	Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (Glycine decarboxylase complex subunit L) (Lipoamide dehydrogenase component of pyruvate dehydrogenase complex) (Pyruvate dehydrogenase complex E3 component)	499	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VI	Class-I pyridine nucleotide-disulfide oxidoreductase family						Active site (1); Beta strand (24); Binding site (6); Chain (1); Disulfide bond (1); Helix (17); Nucleotide binding (4); Transit peptide (1); Turn (5)	SUBCELLULAR LOCATION: Mitochondrion matrix.			
Q07648	DTD_YEAST	D-aminoacyl-tRNA deacylase (DTD) (EC 3.1.1.96) (D-tyrosyl-tRNA(Tyr) deacylase) (Gly-tRNA(Ala) deacylase)	150	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV	DTD family						Chain (1); Motif (1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:10766779}.			
Q06200	ECM7_YEAST	Protein ECM7 (Extracellular mutant protein 7) (Zinc-regulated gene 15 protein)	448	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XII							Chain (1); Topological domain (5); Transmembrane (4)	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.		TOPO_DOM 1..28;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 50..204;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 226..246;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 268..287;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 309..448;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 29..49;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 205..225;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 247..267;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 288..308;  /note="Helical";  /evidence="ECO:0000255"
P14284	DPOZ_YEAST	DNA polymerase zeta catalytic subunit (EC 2.7.7.7) (Protein reversionless 3)	1504	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XVI	DNA polymerase type-B family		METAL 1398;  /note="Zinc";  /evidence="ECO:0000250|UniProtKB:P15436"; METAL 1401;  /note="Zinc";  /evidence="ECO:0000250|UniProtKB:P15436"; METAL 1414;  /note="Zinc";  /evidence="ECO:0000250|UniProtKB:P15436"; METAL 1417;  /note="Zinc";  /evidence="ECO:0000250|UniProtKB:P15436"; METAL 1446;  /note="Iron-sulfur (4Fe-4S)";  /evidence="ECO:0000250|UniProtKB:P15436"; METAL 1449;  /note="Iron-sulfur (4Fe-4S)";  /evidence="ECO:0000250|UniProtKB:P15436"; METAL 1468;  /note="Iron-sulfur (4Fe-4S)";  /evidence="ECO:0000250|UniProtKB:P15436"; METAL 1473;  /note="Iron-sulfur (4Fe-4S)";  /evidence="ECO:0000250|UniProtKB:P15436"				Chain (1); Metal binding (8); Motif (1); Zinc finger (1)	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:16452144}. Nucleus {ECO:0000305}.			
Q01976	ADPP_YEAST	ADP-ribose pyrophosphatase (EC 3.6.1.13) (ADP-ribose diphosphatase) (ADP-ribose phosphohydrolase) (Adenosine diphosphoribose pyrophosphatase) (ADPR-PPase)	231	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome II	Nudix hydrolase family, NudF subfamily		METAL 115;  /note="Magnesium 1; via carbonyl oxygen";  /evidence="ECO:0000250"; METAL 131;  /note="Magnesium 2";  /evidence="ECO:0000250"; METAL 131;  /note="Magnesium 3";  /evidence="ECO:0000250"; METAL 135;  /note="Magnesium 1";  /evidence="ECO:0000250"; METAL 135;  /note="Magnesium 3";  /evidence="ECO:0000250"; METAL 185;  /note="Magnesium 3";  /evidence="ECO:0000250"				Alternative sequence (1); Binding site (5); Chain (1); Domain (1); Initiator methionine (1); Metal binding (6); Modified residue (1); Motif (1); Region (1)				
P04076	ARLY_YEAST	Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)	463	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VIII	Lyase 1 family, Argininosuccinate lyase subfamily			PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; L-arginine from L-ornithine and carbamoyl phosphate: step 3/3.			Chain (1); Modified residue (1); Sequence conflict (1)				
Q06598	ARR3_YEAST	Arsenical-resistance protein 3 (Arsenic compounds resistance protein 3) (As(III)/H(+) and Sb(III)/H(+)antiporter)	404	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XVI	Arsenical resistance-3 (ACR3) (TC 2.A.59) family						Chain (1); Glycosylation (2); Mutagenesis (22); Topological domain (11); Transmembrane (10)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20655873, ECO:0000269|PubMed:21447319, ECO:0000269|PubMed:24291645, ECO:0000269|PubMed:26123064, ECO:0000305|PubMed:9374482}; Multi-pass membrane protein {ECO:0000255, ECO:0000305|PubMed:9374482}.		TOPO_DOM 1..34;  /note="Cytoplasmic";  /evidence="ECO:0000305|PubMed:9374482"; TOPO_DOM 56..69;  /note="Extracellular";  /evidence="ECO:0000305|PubMed:9374482"; TOPO_DOM 91..113;  /note="Cytoplasmic";  /evidence="ECO:0000305|PubMed:9374482"; TOPO_DOM 135..141;  /note="Extracellular";  /evidence="ECO:0000305|PubMed:9374482"; TOPO_DOM 163..169;  /note="Cytoplasmic";  /evidence="ECO:0000305|PubMed:9374482"; TOPO_DOM 191..216;  /note="Extracellular";  /evidence="ECO:0000305|PubMed:9374482"; TOPO_DOM 238..245;  /note="Cytoplasmic";  /evidence="ECO:0000305|PubMed:9374482"; TOPO_DOM 267..280;  /note="Extracellular";  /evidence="ECO:0000305|PubMed:9374482"; TOPO_DOM 302..343;  /note="Cytoplasmic";  /evidence="ECO:0000305|PubMed:9374482"; TOPO_DOM 365..369;  /note="Extracellular";  /evidence="ECO:0000305|PubMed:9374482"; TOPO_DOM 391..404;  /note="Cytoplasmic";  /evidence="ECO:0000305|PubMed:9374482"	TRANSMEM 35..55;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 70..90;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 114..134;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 142..162;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 170..190;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 217..237;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 246..266;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 281..301;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 344..364;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 370..390;  /note="Helical";  /evidence="ECO:0000255"
Q08004	BUD20_YEAST	Bud site selection protein 20	166	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XII	ZNF593/BUD20 C2H2-type zinc-finger protein family						Chain (1); Zinc finger (1)	SUBCELLULAR LOCATION: Nucleus. Endoplasmic reticulum.			
P23293	BUR1_YEAST	Serine/threonine-protein kinase BUR1 (EC 2.7.11.22) (EC 2.7.11.23) (Bypass UAS requirement protein 1) (Suppressor of GPA1-Vall50 mutation protein 1)	657	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XVI	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily						Active site (1); Binding site (1); Chain (1); Domain (1); Modified residue (5); Mutagenesis (3); Nucleotide binding (1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14562095}.			
P32450	AUA1_YEAST	Ammonia regulation of amino acid uptake protein	94	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VI							Chain (1); Compositional bias (1); Repeat (2)				
P38042	CDC27_YEAST	Anaphase-promoting complex subunit CDC27 (Anaphase-promoting complex subunit 3) (Cell division control protein 27)	758	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome II	APC3/CDC27 family			PATHWAY: Protein modification; protein ubiquitination.			Chain (1); Compositional bias (1); Erroneous initiation (1); Mutagenesis (7); Repeat (8); Sequence conflict (2)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.			
Q12468	CSN5_YEAST	COP9 signalosome complex subunit 5 (EC 3.4.-.-)	440	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV	Peptidase M67A family, CSN5 subfamily		METAL 164;  /note="Zinc; catalytic";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01182"; METAL 166;  /note="Zinc; catalytic";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01182"; METAL 177;  /note="Zinc; catalytic";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01182"				Chain (1); Domain (1); Erroneous initiation (2); Metal binding (3); Motif (1); Mutagenesis (3)	SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Note=Nuclear localization requires the formation of the CSN complex.			
P53079	COG1_YEAST	Conserved oligomeric Golgi complex subunit 1 (COG complex subunit 1) (Complexed with DOR1 protein 3) (Component of oligomeric Golgi complex 1) (Protein SEC36)	417	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VII	COG1 family						Chain (1); Modified residue (2)	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}.			
Q08412	CUE5_YEAST	Ubiquitin-binding protein CUE5 (Coupling of ubiquitin conjugation to ER degradation protein 5)	411	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XV							Chain (1); Compositional bias (2); Cross-link (6); Domain (1); Modified residue (14); Motif (1); Mutagenesis (6)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Note=Localizes to cytoplasm in a punctate pattern.			
P53769	CWC24_YEAST	Pre-mRNA-splicing factor CWC24 (Complexed with CEF1 protein 24)	259	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XII	CWC24 family						Chain (1); Modified residue (2); Zinc finger (2)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14562095}.			
Q02770	CWC27_YEAST	Peptidyl-prolyl isomerase CWC27 (PPIase CWC27) (EC 5.2.1.8) (Complexed with CEF1 protein 27) (Rotamase CWC27)	301	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XVI	Cyclophilin-type PPIase family, CWC27 subfamily						Chain (1); Domain (1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.			
P53008	CWH41_YEAST	Mannosyl-oligosaccharide glucosidase (EC 3.2.1.106) (Processing A-glucosidase I) (Glucosidase I)	833	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VII	Glycosyl hydrolase 63 family			PATHWAY: Glycan metabolism; N-glycan degradation. {ECO:0000305}.			Active site (2); Beta strand (24); Binding site (3); Chain (1); Disulfide bond (1); Glycosylation (4); Helix (29); Mutagenesis (2); Topological domain (2); Transmembrane (1); Turn (9)	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:8576053}; Single-pass type II membrane protein {ECO:0000269|PubMed:8576053}.		TOPO_DOM 1..10;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 29..833;  /note="Lumenal";  /evidence="ECO:0000255"	TRANSMEM 11..28;  /note="Helical; Signal-anchor for type II membrane protein";  /evidence="ECO:0000255"
Q03220	CTL1_YEAST	Polynucleotide 5'-triphosphatase (EC 3.1.3.33) (mRNA 5'-triphosphatase) (TPase)	320	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIII	Fungal TPase family						Chain (1)	SUBCELLULAR LOCATION: Cytoplasm. Nucleus.			
Q12517	DCP1_YEAST	mRNA-decapping enzyme subunit 1	231	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XV	DCP1 family						Beta strand (7); Chain (1); Helix (4); Mutagenesis (15); Turn (1)	SUBCELLULAR LOCATION: Cytoplasm, P-body {ECO:0000269|PubMed:10761922, ECO:0000269|PubMed:12730603, ECO:0000269|PubMed:14562095}. Note=Is concentrated in several cytoplasmic foci called P bodies (or cytoplasmic processing bodies) which represent sites of mRNA decapping and 5' to 3' exonucleotidic decay.			
P23542	AATC_YEAST	Aspartate aminotransferase, cytoplasmic (EC 2.6.1.1) (Transaminase A)	418	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XII	Class-I pyridoxal-phosphate-dependent aminotransferase family				BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 8-9. {ECO:0000269|PubMed:6811576};		Beta strand (10); Binding site (4); Chain (1); Erroneous initiation (1); Helix (18); Initiator methionine (1); Modified residue (3); Sequence conflict (4); Turn (9)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:9288922}. Peroxisome {ECO:0000269|PubMed:9288922}. Note=Targeted to peroxisomes in cells grown in oleate.			
P29589	AHT1_YEAST	Hexose transport activator protein	182	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VIII							Chain (1)				
P14904	AMPL_YEAST	Vacuolar aminopeptidase 1 (EC 3.4.11.22) (Aminopeptidase yscI) (Leucine aminopeptidase IV) (LAPIV) (Lysosomal aminopeptidase III) (Polypeptidase) (Vacuolar aminopeptidase I)	514	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XI	Peptidase M18 family		METAL 132;  /note="Zinc 1";  /evidence="ECO:0000250|UniProtKB:Q9ULA0"; METAL 303;  /note="Zinc 1";  /evidence="ECO:0000250|UniProtKB:Q9ULA0"; METAL 303;  /note="Zinc 2";  /evidence="ECO:0000250|UniProtKB:Q9ULA0"; METAL 340;  /note="Zinc 2";  /evidence="ECO:0000250|UniProtKB:Q9ULA0"; METAL 385;  /note="Zinc 1";  /evidence="ECO:0000250|UniProtKB:Q9ULA0"; METAL 479;  /note="Zinc 2";  /evidence="ECO:0000250|UniProtKB:Q9ULA0"		BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 7-8.5. {ECO:0000269|PubMed:5147};		Beta strand (21); Binding site (4); Chain (1); Glycosylation (3); Helix (21); Metal binding (6); Modified residue (1); Propeptide (1); Sequence conflict (4); Site (1); Turn (5)	SUBCELLULAR LOCATION: Vacuole {ECO:0000269|PubMed:24493041, ECO:0000269|PubMed:363165, ECO:0000269|PubMed:8601598}. Note=Transported to the vacuole by the cytosol-to-vacuole targeting (Cvt) pathway. {ECO:0000269|PubMed:9151668, ECO:0000269|PubMed:9214379, ECO:0000269|PubMed:9412464}.			
Q06408	ARO10_YEAST	Transaminated amino acid decarboxylase (EC 4.1.1.-) (EC 4.1.1.43) (EC 4.1.1.72) (EC 4.1.1.74) (EC 4.1.1.80) (Thiamine diphosphate-dependent phenylpyruvate decarboxylase) (PPDC) (Thiamine pyrophosphate-dependent 2-oxo-acid decarboxylase) (2ODC) (Transaminated branched-chain amino acid decarboxylase)	635	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV	TPP enzyme family			PATHWAY: Amino-acid degradation; Ehrlich pathway.	BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 6.5-7.0. {ECO:0000269|PubMed:21501384};		Chain (1); Cross-link (1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}.			
P32074	COPG_YEAST	Coatomer subunit gamma (Gamma-coat protein) (Gamma-COP)	935	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIV	COPG family						Chain (1); Cross-link (1); Modified residue (3); Repeat (5); Sequence conflict (1)	SUBCELLULAR LOCATION: Cytoplasm. Golgi apparatus membrane; Peripheral membrane protein; Cytoplasmic side. Cytoplasmic vesicle, COPI-coated vesicle membrane; Peripheral membrane protein; Cytoplasmic side. Endosome. Note=The coatomer is cytoplasmic or polymerized on the cytoplasmic side of the Golgi, as well as on the vesicles/buds originating from it. {ECO:0000250}.			
Q04632	COG8_YEAST	Conserved oligomeric Golgi complex subunit 8 (COG complex subunit 8) (Component of oligomeric Golgi complex 8)	607	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIII	COG8 family						Chain (1); Modified residue (1)	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}.			
P46962	CTK2_YEAST	CTD kinase subunit beta (CTDK-I subunit beta) (CTD kinase 38 kDa subunit) (CTD kinase subunit 2)	323	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome X	Cyclin family						Chain (1)	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:15520468}.			
P69850	DAD3_YEAST	DASH complex subunit DAD3 (DUO1 and DAM1-interacting protein 3) (Outer kinetochore protein DAD3)	94	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome II	DASH complex DAD3 family						Chain (1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14562095}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:14562095}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:14562095}. Note=Associates with the mitotic spindle and the kinetochore.			
Q06686	CTR3_YEAST	Copper transport protein CTR3 (Copper transporter 3)	241	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XII	Copper transporter (Ctr) (TC 1.A.56) family, SLC31A subfamily						Chain (1); Topological domain (4); Transmembrane (3)	SUBCELLULAR LOCATION: Cytoplasmic vesicle membrane; Multi-pass membrane protein.		TOPO_DOM 1..41;  /note="Lumenal";  /evidence="ECO:0000255"; TOPO_DOM 63..159;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 181..182;  /note="Lumenal";  /evidence="ECO:0000255"; TOPO_DOM 204..241;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 42..62;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 160..180;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 183..203;  /note="Helical";  /evidence="ECO:0000255"
P25616	CTO1_YEAST	Cold tolerance protein 1	317	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome III	CTO1 family						Chain (1)				
